author,category,datePublished,description,images,numberOfPages,price,sub_category,title
Hốp,Sách Thiếu Nhi,20/08/2019,"Thông tin tác giả    Sasbadi Group     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bộ sách Toán song ngữ lý thú này sẽ giúp xây dựng nền tảng tư duy Toán vững chắc cho trẻ. Bộ sách có 12 cuốn, bao gồm 6 cấp độ, 1 cuốn học kiến thức và 1  cuốn luyện tập ở mỗi cấp độ, mang tới những hoạt động đầy hứng thú cùng những kỹ năng tư duy bậc cao (HOTS: tổng hợp, phân tích, lý luận, khái quát, ứng dụng và đánh giá), lồng ghép vào các trò vui để trẻ vừa được chơi vừa được rèn luyện tư duy.Đặc biệt nhất là xê ri sách Tiếng Anh – Toán – Khoa học này còn được tích hợp với ứng dụng điện thoại miễn phí. Những âm thanh, hình ảnh 3D, clip hoạt hình và trò chơi trong ứng dụng sẽ giúp bạn trẻ học tập chủ động hơn, hiểu vấn đề sâu hơn và đạt kết quả xuất sắc hơn.Mời bạn đón đọc.",full/6900b0190ae4d992427b9f396453825dd44ee05c.jpg,30.0,24.000,Khoa học xã hội,Toán Song Ngữ Tiền Tiểu Học - Sách Luyện Tập 6
Quỳnh Quỳnh,Sách Thiếu Nhi,20/08/2019,"Thông tin tác giả    Nanami Sumimoto     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Viện Nghiên cứu Giáo dục và Phát triển trí tuệ trẻ em WILL     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nếu mình cầm chắc, cầm đúng,mình sẽ viết chữ thật đẹp,ăn thật ngon,làm thật khéo!Nếu mình giỏi vận động tinh,thì khi giúp đỡ bố mẹhay khi chơi cùng bạn bè,trông mình sẽ ""người lớn"" hơn hẳn!Mình muốn làm được thật nhiều việc,mình sẽ học kỹvề vận động tinh,học cách cầm nắm đồ vậttừ cuốn sách này.Mời bạn đón đọc.",full/888fadfdfe62919585b8553f94145adfc2a506eb.jpg,48.0,90.000,Khoa học xã hội,Khéo Léo Dùng Đôi Tay
Nhiều Tác Giả,Sách Thiếu Nhi,26/08/2019,"Phụ huynh cần biết Những từ quan trọng đầu tiên, hình ảnh đẹp đẽ dễ bắt mắt, cùng khổ sách và chất liệu mềm mại thiết kế phù hợp với đôi bàn tay nhỏ... khiến cuốn sách này là bạn đồng hành lý tưởng cho các bé bắt đầu học tập và nhận thức.Mời bạn đón đọc.",full/5421594868c661080fc66e5ad478fe7bb0edb3de.jpg,24.0,50.000,Khoa học xã hội,100 Từ Mới - Làng Quê Của Em (Tái Bản 2019)
Lương Thu Hương,Sách Thiếu Nhi,10/09/2019,"Thông tin tác giả    Yoo Hae Jeong     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bước vào tiểu học rồi đến trung học, có rất nhiều điều mới lạ trẻ nhỏ cần phải học nhưng thật khó khăn khi nhận ra rằng những điều tưởng chừng như mình đã biết rất rõ hóa ra lại không đúng như vậy.Bộ sách ĐỂ LUÔN ĐẠT ĐIỂM 10 – Bí kíp nắm vững kiến thức của siêu học sinh sẽ cùng các bạn nhỏ củng cố kiến thức đã học, đồng thời giúp khám phá những điều mới mẻ qua những câu chuyện đầy vui nhộn và thú vị.Đôi khi chúng ta sẽ thắc mắc rằng:Có phải mọi con cua đều bò ngang? Câu trả lời sẽ có trong cuốn Sự sống và môi trường – Bí kíp nắm vững kiến thức Sinh học.Số 0,999... có nhỏ hơn số 1? Hãy tìm hiểu trong cuốn Toán và những con số kỳ diệu – Bí kíp nắm vững kiến thức Toán học nhé!Làm thế nào để tách muối khỏi cát sau khi chúng được trộn lẫn? – Cuốn Vô vàn vật chất – Bí kíp nắm vững kiến thức Hóa học sẽ giải đáp điều này cho các bạn nhỏ.Chúng ta có thể tạo ra một cục nam châm từ một cái đinh không? – Mẹo hay sẽ có trong cuốn Chuyển động và năng lượng – Bí kíp nắm vững kiến thức Vật lý.Các địa tầng của Trái đất hình thành như thế nào? – Bạn nhỏ sẽ có câu trả lời trong cuốn Trái đất và vũ trụ – Bí kíp nắm vững kiến thức Khoa học.Đồng thời, mỗi cuốn sách đều được chia thành nhiều chuyên mục (Truyện tranh vui học; Ồ, thì ra là thế!; Bạn có biết?; Phát triển tư duy!) sẽ:• “Xử lý” 50 khái niệm cơ bản trong sách giáo khoa mà các bạn nhỏ dễ nhầm lẫn.• Những mẩu truyện tranh hài hước giải thích các khái niệm dễ gây nhầm lẫn.• Lượng kiến thức vừa đủ. Có phần giải thích từ vựng, các mẹo nhỏ…• Đặc biệt có phần Đố nhanh – Đáp gọn để bạn tự kiểm tra lại mức độ hiểu bài.ĐỂ LUÔN ĐẠT ĐIỂM 10 - Bộ sách tham khảo dành cho bậc tiểu học hàng đầu của siêu cường giáo dục Hàn Quốc, được phụ huynh tín nhiệm, và nhận được nhiều sự  ủng hộ tại các quốc gia trong khu vực như  Thái Lan, Malaysia… và lần này là tại Việt Nam.ĐỂ LUÔN ĐẠT ĐIỂM 10 sẽ thổi bay mọi lo lắng của các bạn nhỏ, giúp cho việc học tập được dễ dàng hơn.Bộ sách gồm 5 cuốn:1. Vô vàn vật chất2. Toán và những con số kỳ diệu3. Chuyển động và năng lượng4. Sự sống và môi trường5. Trái đất và vũ trụMời bạn đón đọc.",full/97f82b0977d86cb0e87418fae00967bb9e3c07b7.jpg,152.0,85.000,Khoa học xã hội,Để Luôn Đạt Điểm 10 - Chuyển Động Và Năng Lượng (Tái Bản 2019)
An An,Sách Thiếu Nhi,06/09/2019,"Thông tin tác giả    Trịnh Uyên Khiết     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Con sinh ra từ đâu?Thời đại của “nhặt ở bãi rác” và “con cò tha tới” đã qua rồi, cha mẹ ngày nay cần có câu trả lời khoa học hơn, nhưng vẫn phải phù hợp với nhận thức của trẻ.Cuốn sách đáng yêu này dùng những câu chuyện thú vị để dẫn dắt trẻ nhận thức về giới tính, về tâm sinh lý lứa tuổi, cùng những kỹ năng cơ bản để tự bảo vệ bản thân khỏi những xâm hại không đáng có.Cuốn sách là món quà hữu ích, một sự khởi đầu tuyệt vời cho những cuộc trò chuyện cởi mở giữa bố mẹ và trẻ nhỏ về vấn đề giới tính.Mời bạn đón đọc.",full/db0b1746c8c49631ed33a255d1ade5c3ed8f0d57.jpg,208.0,145.000,Khoa học xã hội,Mình Được Nhặt Về Từ Bãi Rác Sao?
Nhiều Tác Giả,Sách Thường Thức – Đời Sống,31/05/2019,"Giữa cuộc sống bộn bề đầy lo toan hiện nay, bố mẹ ai cũng muốn cho con có được một cuộc sống đủ đầy và vững vàng? Nhưng liệu như vậy đã đủ?Hạnh phúc có khi thật nhỏ bé, không phải là những món quà đắt tiền mà bố mẹ mua cho con, hay việc bố mẹ cố gắng bằng mọi giá ""trải"" cho con con đường ít chông gai nhất. Hạnh phúc là cái ôm mẹ dành cho con, giây phút bố xoa đầu khen con thật ngoan, hay bữa cơm cả nhà mình quây quần bên nhau, những lần dạo chơi cùng ông bà. Khi chúng ta hiểu con cái, hiểu được thế giới bên trong với vô vàn cảm xúc, suy nghĩ, chúng ta sẽ đến gần với con hơn. Hãy chấp nhận con như chính con vốn có, hãy dành thời gian lắng nghe ý kiến, tâm tư và luôn đồng hành cùng con, sẵn sàng bên con, giúp đỡ con bất cứ lúc nàoTủ sách ""LỜI CON MUỐN NÓI"" với thông điệp ""LẮNG NGHE ĐỂ THẤU HIỂU"" sẽ làm cầu nối giúp cha mẹ thấu hiểu hơn tâm lý của con để yêu thương và dạy dỗ con đúng cách, giúp con tự tin và trưởng thành hơn mỗi ngày. ""Bố mẹ biết không? Con cũng có thể mắc sai lầm, cũng có lúc bị điểm kém, bố mẹ sẽ tìm hiểu lí do và cùng con tìm giải pháp chứ?"". "" Có những điều bố mẹ bảo con làm mà con không hiểu, bố mẹ sẽ chia sẻ cùng con chứ?"", ""Con biết bố mẹ luôn kì vọng vào con, mong con giỏi nhưng bố mẹ đừng gây áp lực cho con, đòi hỏi con giống ""con nhà người ta"" hay đòi hỏi con phải luôn đứng đầu...Chuyện gì con cũng biết là cuốn đầu tiên trong tủ sách này. Cuốn sách gồm những câu chuyện trong gia đình được cha mẹ chia sẻ. Sau mỗi câu chuyện là những bài học, kinh nghiệm được đúc kết, đồng thời gợi mở chủ để để cả nhà cùng suy ngẫm và thấu hiểu lẫn nhau.Mời bạn đón đọc.",full/a0efd559515e88814bbfea72ac0a94d383d759c7.jpg,40.0,68.000,"Gia đình, nuôi dạy con",Chuyện Gì Con Cũng Biết
Hải Hà,Sách Thiếu Nhi,10/09/2019,"Thông tin tác giả    Park Hae Sun     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Giang sơn dễ đổi, bản tính khó dời”, xây dựng thói quen tốt đã khó, nhưng sửa thói xấu lại càng khó hơn. Chính bởi vậy, ngay từ thuở thơ ấu, trẻ nhỏ đã cần được hướng tới những thói quen tốt và sớm uốn nắn, sửa chữa những thói xấu. Điều này hẳn ai cũng biết, những thực hiện được hay không lại là cả một chặng đường gian nan. Nếu những thói quen chưa tốt của trẻ nhỏ cứ bị soi qua lăng kính thiếu sự thấu hiểu của người lớn, để rồi bị phê bình, chỉ trích, vả chăng chỉ càng khiến cho trẻ nhỏ lấy đó làm lý do để biện minh cho những thiếu sót của mình.Hiểu được điều này, Bộ sách Những thói quen vàng ra đời để đưa ra giải pháp, giúp các bậc phụ huynh gỡ rối trong hành trình nuôi dưỡng con trẻ. Cha mẹ nào chẳng muốn uốn nắn, giúp con sửa chữa những thói xấu, nhưng vấn đề là nói sao cho trẻ chịu nghe? Nếu trẻ chưa chịu nghe? Hãy tạo cơ hội cho trẻ đến với những cuốn sách trong bộ Những thói quen vàng! Kể lại những câu chuyện thú vị xoay quanh các cậu nhõng nhẽo, cô làm biếng, chú nuốt lời, nhóc hoang phí…, bộ sách Những thói quen vàng sẽ là lời nhắn nhủ ý nhị, đầy yêu thương, giúp các bạn nhỏ nhận ra khuyết điểm và tự mình sửa chữa.Thay vì phê bình những sai sót của trẻ nhỏ, những câu chuyện trong bộ sách xuất phát từ mối đồng cảm với trẻ em, để mở ra một thế giới thần tiên, một không gian tưởng tượng khoáng đạt, nơi mỗi đứa trẻ có thể nhìn thấy chính mình và tự nhận ra thiếu sót của mình trong đó. Sự kết hợp hài hòa giữa yếu tố hài hước của mạch truyện và những thông điệp yêu thương nhẹ nhàng càng làm tăng thêm sức truyền tải cho mỗi câu chuyện. Từ đó trẻ em dễ dàng tiếp thu không chút miễn cưỡng, giúp trẻ hình thành nên những thói quen sinh hoạt đúng đắn, lành mạnh.Những cuốn sách trong bộ Những thói quen vàng đưa các độc giả nhỏ tuổi đến với những câu chuyện với nhân vật chính là các bạn nhỏ đồng trang lứa mang những khuyết điểm mà đứa trẻ nào cũng từng mắc phải. Nào là nhõng nhẽo, ăn vạ, nào là ỷ lại, nào là nói dối, rồi thì hoang phí, lười biếng, không biết nhận lỗi,.. đủ cả. Này nhé, ăn vạ thì bạn bè tránh xa, ỷ lại thì bị chê cười, nói dối thì mệt vô cùng, hoang phí chỉ càng cực thân,… Rồi “tạm biệt” những thói xấu ấy các bạn nhỏ lại sống vui vẻ và được yêu mến như xưa. Nhưng hơn hết, sau mỗi câu chuyện là một bài học rút ra, gợi ý những cách giải quyết mà các độc giả nhí có thể áp dụng với chính bản thân mình.Mời bạn đón đọc.",full/00df653bdfccf6b3478de7cb9bea414828345ebd.jpg,80.0,59.000,Khoa học xã hội,Những Thói Quen Vàng - Sao Không Ai Chơi Với Con? (Tái Bản 2019)
Đặng Ly,Sách Thường Thức – Đời Sống,05/06/2019,"Thông tin tác giả    Walter Andal     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Làm thế nào chúng ta trang bị được cho con trẻ những kỹ năng tài chính cá nhân mà chúng có thể mang theo như một hành trang trong suốt cuộc đời? Tiếc rằng việc dạy con trẻ cách quản lý tài chính cá nhân lại là một việc cực chẳng đành với nhiều bậc làm cha mẹ!Nản lòng khi thiếu nguồn tài liệu về tài chính giúp con cái học và áp dụng vào thực tiễn, Walter Andal đã tìm hiểu, nghiên cứu và tìm ra cách truyền đạt dễ hiểu những bài học về tài chính cho trẻ nhỏ, mà một trong những bài học quan trọng nhất là quản lý chi tiêu và tiền bạc. Cuốn sách sẽ giúp trẻ (và có lẽ cả các phụ huynh nữa) có những kiến thức cơ bản nhất về tài chính cũng như những hiểu biết cần thiết cho lộ trình tài chính cá nhân trong tương lai qua những khái niệm cơ bản như:- Tiền bắt đầu như thế nào- Làm thế nào kiếm được tiền- Tiết kiệm và đầu tư- Thẻ tín dụng là gì và nếu quản lý thẻ tín dụng kém sẽ nguy hiểm ra sao- Thị trường chứng khoán là gì…Mời bạn đón đọc.",full/51521ea2f2698fc2d5d0d1cd7ddbf44b3c7e9862.jpg,108.0,66.000,"Gia đình, nuôi dạy con",Cuốn Sách Tài Chính Đầu Đời
Hải Yến,Sách Phát Triển Bản Thân,05/06/2019,"Thông tin tác giả    Ron Clark 
                                                                                                                                            Ron Clark sinh ra và lớn lên ở Bắc Carolina. Ông trở thành giáo viên từ năm 1995 và đã dạy học ở những ngôi trường được coi là khó khăn nhất nước Mỹ. Năm 2001, Ron Clark đã đoạt “Giải thưởng Giáo viên Toàn quốc”. Ron Clark đã viết hai cuốn sách. Cuốn thứ nhất, The ...
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “55 Nguyên tắc ứng ứng xử thiết yếu để thành công” là sự kết hợp giữa giáo dục cùng với những bài học thực tế từ cuộc sống, là các nguyên tắc mà Ron Clark cho rằng cần được áp dụng nhằm duy trì nề nếp và giúp học sinh phát huy năng lực. Những nguyên tắc này không chỉ nhằm truyền dạy cho trẻ cách ứng xử, mà còn chuẩn bị cho chúng hành trang vào đời sau khi rời lớp học, giúp chúng tự tin đối mặt với mọi tình huống có thể xảy ra. Ở khía cạnh nào đó, đây có thể được xem là một kế hoạch gồm 55 bước, dù các bước này không kết nối liền mạch với nhau. “55 Nguyên tắc ứng ứng xử thiết yếu để thành công” của Ron Clark là cuốn sách nổi tiếng đã được phát hành và áp dụng ở hơn 25 quốc gia trên thế giới. Các kỹ năng sống tác giả Ron Clark nêu ra trong cuốn sách là những kỹ năng cần thiết để con bạn không chỉ biết cách ứng xử mà còn giúp con bạn có được sự quý mến của tất cả mọi người.Qua cuốn sách, bạn sẽ được tìm hiểu 55 nguyên tắc hành ứng xử quan trọng, ví dụ như:• Tôn trọng ý kiến và quan điểm của người khác• Thắng không kiêu, bại không nản• Không đòi tưởng thưởng• Sống trọn vẹn trong từng phút giây• Hãy là chính mình“55 Nguyên tắc ứng ứng xử thiết yếu để thành công” được biên dịch từ quyển “The Essential 55” của tác giả Ron Clark  và từng có tên tiếng Việt là “55 Kỹ năng giúp con bạn thành công”. Năm 2019, công ty First News – Trí Việt đã đổi tên, tái bản tác phẩm được nhiều người yêu thích này với một số chi tiết được cập nhật từ bản gốc. Mời bạn đón đọc.",full/0c275bb8fb63e9cf3baacb02fdfcc1a04c365aee.jpg,248.0,88.000,Sách học làm người,55 Nguyên Tắc Ứng Xử Thiết Yếu Để Thành Công
Nhiều Tác Giả,Sách Thường Thức – Đời Sống,29/05/2019,"Đọc sách là tốt, điều đó ai cũng biết, nhưng làm sao để có thói quen đọc sách? Đọc sách có nhất thiết là ""đọc sách văn học"" hay không? Có vô số loại sách hữu ích trên đời, cũng như có rất nhiều cách thức để khơi gợi niềm yêu thích đọc sách.Sách giúp cha mẹ, phụ huynh giúp hình thành thói quen đọc sách cho con em và cho chính mình.Mời bạn đón đọc.",full/46a20b9db77ba591d8df05a9961628cdefca48cf.jpg,176.0,55.000,"Gia đình, nuôi dạy con",Đọc Sách - Món Quà Mang Cả Tương Lai
Nguyễn Thị Thanh Hằng,Sách Thường Thức – Đời Sống,06/06/2019,"Thông tin tác giả    Craig Buck     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Susan Forward     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Có bao giờ trong mỗi chúng ta đã từng có suy nghĩ rằng: “Tôi xin chôn ảo tưởng của mình về một gia đình tốt đẹp. Tôi xin chôn những hi vọng và kì vọng của mình về cha mẹ tôi. Tôi xin chôn ảo tưởng của mình có thể làm được điều gì đó để thay đổi cha mẹ. Tôi biết mình sẽ không bao giờ trở thành người như cha mẹ hằng mong muốn, và tôi khóc than cho nỗi mất mát ấy. Nhưng tôi chấp nhận nó. Những ảo tưởng đó có thể an nghỉ được rồi”. Tôi nghĩ ít nhiều trong chúng ta ai cũng đã từng có những suy nghĩ như vậy, rằng mình chưa làm vừa ý cha mẹ.Khi bạn còn nhỏ, cha mẹ có nói rằng bạn tồi tệ hay vô tích sự không? Cha mẹ có thường xuyên sử dụng sự đau đớn về thể xác để kỷ luật bạn không? Bạn có thường xuyên sợ hãi cha mẹ của bạn không?... Còn bây giờ, khi bạn đã trưởng thành, có phải cha mẹ vẫn đối xử với bạn như một đứa trẻ hay bạn có cảm thấy rằng dù mình làm gì đi chăng nữa, sẽ không bao giờ là đủ với cha mẹ?... Tất cả những câu hỏi đang vang lên trong đầu bạn sẽ có lời giải đáp trong cuốn sách Cha mẹ độc hại – Vượt qua di chứng tổn thương và giành lại cuộc đời bạn. Trong cuốn sách này, Tiến sĩ Susan Forward đã chỉ ra được tiếng nói thực tế của những đứa trẻ trưởng thành có cha mẹ độc hại, từ đó giúp bạn thoát khỏi những bực bội trong mối quan hệ với cha mẹ, và khám phá ra một thế giới mới về sự tự tin, sức mạnh, khả năng tiềm ẩn của chính bản thân bạn. Trả lại bạn một cuộc đời đẹp tươi, ý nghĩa đáng ra bạn đã nên có từ rất lâu.Cuốn sách gồm 2 phần chính:- Phần 1: Cha mẹ độc hại thường bạo hành về tinh thần (lời nói), thể xác (đánh đập), hoặc xâm hại tình dục.- Phần 2: Tác giả gợi mở từng cách giải quyết cho mỗi một vấn đề. Giúp đối tượng bị tổn thương có thể thoát khỏi bóng đen và những nỗi đau quá khứ để sống một cuộc sống vui vẻ phía trước.Mời bạn đón đọc.",full/ae6ced4c487cb3077544e0efb41802db2ceaa10d.jpg,344.0,129.000,"Gia đình, nuôi dạy con",Cha Mẹ Độc Hại
Hải Khuê,Sách Thường Thức – Đời Sống,20/06/2019,"Thông tin tác giả    Isabelle Filliozat 
                                                                                                                                            Isabelle Filliozat
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Yêu cho roi cho vọtGhét cho ngọt cho bùi! Bấy lâu nay, chúng ta, những bà mẹ Việt, luôn xem câu này như kim chỉ nam trong quá trình nuôi dạy con của mình để rồi nghề “làm mẹ” khiến ta vô cùng căng thẳng, mệt mỏi!Trên thực tế, bố mẹ thường có xu hướng diễn giải tất cả những cơn mè nheo của trẻ như biểu hiện của sự chống đối, thiếu tự giác, hỗn hào. Một số khác thì tự đổ lỗi cho bản thân. Và liệu có những nguyên nhân khác?Các bà mẹ Pháp, trong đó có Isabelle Filliozat với những phát hiện mới đây về thần kinh học và tâm lý học thực nghiệm đã làm sáng tỏ thêm về cư xử thái quá này, giúp phụ huynh tìm ra cách thức phù hợp với từng độ tuổi của trẻ.Nuôi trẻ không có nghĩa là chỉ lo đủ cơm ăn áo mặc cho trẻ. Liệu các bà mẹ Việt đã sẵn sàng xem xét lại một số thói quen, một số điều họ hằng tin tưởng, thậm chí cả những gì mà họ từng chắc chắn nhất để tìm ra cách chung sống “hòa hợp” đầy khoa học với con họ?“Cả kho lời khuyên và đường hướng để biết áp dụng thái độ nào trong từng hoàn cảnh.”      - Tuần san Marseille.“Rất nhiều thông tin trong cuốn sách này cần đọc và đọc đi đọc lại trong suốt cuộc đời làm cha làm mẹ.”     - Tạp chí La VieMời bạn đón đọc.",full/58ba5274e7faf6572044fa208c9b9bd6e1d32621.jpg,176.0,76.000,"Gia đình, nuôi dạy con",Mè Nheo Dễ Xử Thôi! (Tái Bản 2019)
First News,Sách Thường Thức – Đời Sống,02/07/2019,"Thông tin tác giả    Makoto Shichida 
                                                                                                                                            Giáo sư Makoto Shichida sinh năm 1929 tại tỉnh Shimane, Nhật Bản. Ông là tiến sĩ giáo dục, hiệu trưởng Viện Giáo dục Trẻ em Shichida, hội trưởng Hội Nghiên cứu Giáo dục Shichida. Hội đồng Khoa học Thế giới đã đánh giá Phương pháp Giáo dục Não phải Shichida là một trong những ...
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hoạt động tinh thần của con người có thể chia ra làm: tri thức, tình cảm và ý chí. Trẻ em cũng vậy, vì vậy việc giáo dục trẻ tập trung vào 2 phần: Giáo dục tri thức và giáo dục tâm hồn, tương ứng với IQ và EQ.Ông bà ta từng nói: “Dạy con tử thuở còn thơ”, nghiên cứu khoa học cũng cho thấy từ 0-6 tuổi là giai đoạn quan trọng nhất ảnh hưởng đến tri thức, nhân cách của trẻ sau này.Với mục đích dạy trẻ có được tư duy độc lập, có khả năng quyết định ý chí và tình cảm – hai yếu tố cấu thành nhân cách của trẻ sau này. GS. Makoto Shichida đã cô đọng những kinh nghiệm giáo dục sớm của mình trong hàng chục năm trực tiếp nghiên cứu và giảng dạy vào cuốn sách “277 lời khuyên dạy con của Giáo sư Shichida”.Cuốn sách “277 lời khuyên dạy con của Giáo sư Shichida” là những lời khuyên thực tế giúp các bậc phụ huynh định hình, xây dựng tính cách và trí tuệ xuất sắc cho con ngay từ độ tuổi nhỏ; nuôi dạy con thông minh; chọn lựa môi trường giáo dục phù hợp với trẻ trong những tháng năm đầu đời quan trọng và giảm bớt những lo lắng của các bậc phụ huynh trong quá trình nuôi dạy con.Điều đặc biệt là cuốn sách là dù được viết như một cẩm nang dạy con cho các bậc phụ huynh Nhật Bản, nhưng “277 lời khuyên dạy con của Giáo sư Shichida” không tạo cảm giác xa lạ với các phụ huynh Việt Nam, bởi môi trường văn hoá, tâm tư tình cảm của các bậc phụ huynh có rất nhiều điểm tương đồng. GS. Makoto Shichida là một “huyền thoại” về giáo dục ở Nhật Bản. Ông là người nghiên cứu và sáng lập ra phương pháp Shichida – phương pháp giáo dục sớm cho trẻ em có mặt hơn 500 trung tâm trên khắp nước Nhật và nhiều nước khác trên thế giới. Ông cũng là tác giả của hàng loạt đầu sách nổi tiếng về nuôi dạy con như như Yêu thương, khen ngợi và nhìn nhận; Bí ẩn của não phải; Giáo dục não phải; Thai giáo theo phương pháp Shichida… Với phương pháp giáo dục sớm của mình, GS. Makoto Shichida đã nhận được hàng loạt giải thưởng từ các chính phủ và tổ chức giáo dục uy tín.Vì vậy, với cuốn sách “277 lời khuyên dạy con của Giáo sư Shichida”, bạn đọc chắc chắn sẽ tìm được những lời khuyên hữu ích, sâu sắc trong hành trình nuôi dạy con trẻ của huyền thoại giáo dục Nhật Bản Shichida.Mời bạn đón đọc.",full/8b042e207e6d9de6c4fa759d28de0e070f015b1e.jpg,280.0,108.000,"Gia đình, nuôi dạy con",277 Lời Khuyên Dạy Con Của Giáo Sư Shichida
Thủy Mercury,Sách Chuyên Ngành,15/06/2019,"Thông tin tác giả    Patricia A. Jennings     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Môi trường lớp học có thể gây ra các vấn đề nghiêm trọng về sức khỏe liên quan đến stress. Nghĩa là, cả giáo viên lẫn học sinh đều là “tù nhân” – họ không thể bỏ ra ngoài trong suốt giờ học mà không phải chịu những hậu quả tiêu cực. Hơn nữa, cơ chế xã hội và cảm xúc của một căn phòng đầy trẻ nhỏ hay trẻ vị thành niên có thể gây tâm lý căng thẳng, thậm chí rối ren.Dưới áp lực đó, một vài học sinh trở nên gây rối, xao nhãng và thậm chí ngang ngạnh, còn giáo viên thì trở nên lo âu, chán nản, lúng túng và tuyệt vọng. Nhìn ở dưới góc độ này, thật dễ hiểu tại sao giáo viên bị kiệt sức còn học sinh thì không chịu học. Phản ứng với stress làm chệch hướng việc dạy của giáo viên và việc học của học sinh.Vì lẽ đó, một phương pháp dựa trên sự tỉnh thức để hỗ trợ sức khỏe cho giáo viên là bức thiết. Hơn nữa, nếu chúng ta có thể trang bị cho giáo viên những kỹ năng để quản lý tốt hơn những nhu cầu xã hội và cảm xúc này, không khí lớp học sẽ được cải thiện, hành vi và việc học tập của học sinh cũng thế.Dạy học với trọn vẹn yêu thương được viết nên từ hơn 40 năm kinh nghiệm làm người thực hành sự tỉnh thức, nhà giáo dục và nhà khoa học. Tiến sĩ Patricia A. Jennings viết cuốn sách này cho tất cả những ai quan tâm đến việc chuyển hóa trường học thành môt trường thúc đẩy sự phát triển của con người (với ý nghĩa đầy đủ nhất của cụm từ này) và trở thành nơi trẻ em và thanh thiếu niên có thể phát huy được hết tiềm năng của mình.Mời bạn đón đọc.",full/6b77feadaf408d7934ba43fa74f68b6c3441c310.jpg,292.0,150.000,Khoa học tự nhiên - Xã hội,Dạy Học Với Trọn Vẹn Yêu Thương
Đặng Thị Quỳnh Hương,Sách Thường Thức – Đời Sống,21/06/2019,"Thông tin tác giả    Mem Fox 
                                                                                                                                            Mem Fox sinh năm 1946 tại thành phố Melbourne, Úc. Năm 1996, bà đã xin nghỉ hưu sớm khi đang đảm nhiệm vị trí Phó Giao sư chuyên ngành nghiên cứu khả năng đọc viết tại Khoa Nhân văn thuộc trường Đại học Flinders để dành toàn thời gian cho việc viết sách và tư vấn. Mem Fox và ...
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Cô ấy kể cho tôi về cậu con trai hồi chín tuổi đã từng không thích đọc sách. Khả năng đọc không tốt đã khiến cậu bé chản nản, bố mẹ cũng vô cùng phiền lòng. Cậu sắp sửa bị xếp vào một lớp học đặc biệt trong trường. Sau khi đọc cuốn “Trong sách có gì mà vui thế?” của tôi, cô ấy biết những gợi ý trong sách chính là câu trả lời cho những lời cầu nguyện của cô lâu nay.” – Mem Fox“Trong sách có gì mà vui thế?” là một phép màu giúp các thành viên trong gia đình gắn bó hơn. Mỗi ngày họ ngồi xuống cùng nhau vui vẻ đọc sách, họ hiểu ra đọc sách cùng con vui đến chừng nào, họ cũng không còn xem việc đọc như một trọng trách nặng nề mà đó là khoảng thời gian vui vẻ bên nhau mỗi ngày mà ai trong chúng ta cũng đều háo hức mong chờ.Tác giả Mem Fox đã mang đến những chia sẻ thực tế về việc đọc sách cho trẻ, đặc biệt là tầm quan trọng của việc đọc to – một phương pháp hữu ích giúp trẻ học đọc một cách dễ dàng. Với cơ sở lý thuyết khoa học dễ hiểu và đáng tin cậy, các ví dụ minh họa thực tế và thuyết phục, Mem Fox đã chứng minh cho chúng ta thấy hiệu quả thần kỳ của việc cha mẹ đọc to thành tiếng cho con nghe, dù chỉ vài phút mỗi ngày.“Chỉ với những chương sách ngắn gọn nhưng đầy hấp dẫn, Mem Fox đã cho chúng ta thấy được niềm vui vô bờ khi đọc sách cùng con trẻ” – The Toronto Star“Không cần đao to búa lớn, những chỉ dẫn nhẹ nhàng và đơn giản của Fox đã đi thẳng vào trái tim của tất cả các phụ huynh chính nhờ sự thông thái và tình yêu thương lớn lao của bà đối với trẻ em” – The New York Times Book ReviewMời bạn đón đọc.",full/d2ef04c3e0536b979c7c231d48c5e477ea6d25d9.jpg,208.0,89.000,"Gia đình, nuôi dạy con",Trong Sách Có Gì Mà Vui Thế?
